rank,name,pos,team
1,Jonathan Taylor,RB,IND
2,Christian McCaffrey,RB,CAR
3,Derrick Henry,RB,TEN
4,Austin Ekeler,RB,LAC
5,Dalvin Cook,RB,MIN
6,Cooper Kupp,WR,LAR
7,Justin Jefferson,WR,MIN
8,Najee Harris,RB,PIT
9,Joe Mixon,RB,CIN
10,Ja'Marr Chase,WR,CIN
11,Travis Kelce,TE,KC
12,Davante Adams,WR,LV
13,D'Andre Swift,RB,DET
14,Stefon Diggs,WR,BUF
15,Nick Chubb,RB,CLE
16,Alvin Kamara,RB,NO
17,Saquon Barkley,RB,NYG
18,Aaron Jones,RB,GB
19,CeeDee Lamb,WR,DAL
20,Tyreek Hill,WR,MIA
21,Josh Allen,QB,BUF
22,Deebo Samuel,WR,SF
23,Mark Andrews,TE,BAL
24,Javonte Williams,RB,DEN
25,Leonard Fournette,RB,TB
26,Mike Evans,WR,TB
27,Ezekiel Elliott,RB,DAL
28,A.J. Brown,WR,PHI
29,James Conner,RB,ARI
30,Keenan Allen,WR,LAC
31,Kyle Pitts,TE,ATL
32,Patrick Mahomes,QB,KC
33,Tee Higgins,WR,CIN
34,Cam Akers,RB,LAR
35,Justin Herbert,QB,LAC
36,David Montgomery,RB,CHI
37,Breece Hall,RB,NYJ
38,George Kittle,TE,SF
39,Michael Pittman,WR,IND
40,Travis Etienne,RB,JAX
41,Diontae Johnson,WR,PIT
42,Terry McLaurin,WR,WAS
43,DJ Moore,WR,CAR
44,Darren Waller,TE,LV
45,Jaylen Waddle,WR,MIA
46,DK Metcalf,WR,SEA
47,Josh Jacobs,RB,LV
48,Lamar Jackson,QB,BAL
49,Mike Williams,WR,LAC
50,Antonio Gibson,RB,WAS
51,Courtland Sutton,WR,DEN
52,J.K. Dobbins,RB,BAL
53,Elijah Mitchell,RB,SF
54,Jerry Jeudy,WR,DEN
55,Allen Robinson,WR,LAR
56,Kyler Murray,QB,ARI
57,Joe Burrow,QB,CIN
58,Marquise Brown,WR,ARI
59,AJ Dillon,RB,GB
60,Amari Cooper,WR,CLE
61,Dalton Schultz,TE,DAL
62,Brandin Cooks,WR,HOU
63,Chris Godwin,WR,TB
64,Clyde Edwards-Helaire,RB,KC
65,Jalen Hurts,QB,PHI
66,Michael Thomas,WR,NO
67,T.J. Hockenson,TE,DET
68,Amon-Ra St. Brown,WR,DET
69,Adam Thielen,WR,MIN
