overall,player,round,pick,pos,team,drafted_by,pos_rank
1,C. McCaffrey,1,1,RB,CAR,StumpfistTrumpf,1
2,A. Kamara,1,2,RB,NO,MKx,2
3,D. Cook,1,3,RB,MIN,Hammichan,3
4,D. Henry,1,4,RB,TEN,Blitzkoerper85,4
5,E. Elliott,1,5,RB,DAL,TheRealBauer,5
6,S. Barkley,1,6,RB,NYG,Speasy,6
7,N. Chubb,1,7,RB,CLE,Wolverine88,7
8,J. Taylor,1,8,RB,IND,AllTimeReadyPat,8
9,T. Hill,1,9,WR,KC,MarkusEXperte,1
10,A. Jones,1,10,RB,GB,Hubner,9
11,T. Kelce,2,1,TE,KC,Hubner,1
12,N. Harris,2,2,RB,PIT,MarkusEXperte,10
13,D. Adams,2,3,WR,GB,AllTimeReadyPat,2
14,D. Metcalf,2,4,WR,SEA,Wolverine88,3
15,A. Ekeler,2,5,RB,LAC,Speasy,11
16,A. Gibson,2,6,RB,WAS,TheRealBauer,12
17,J. Mixon,2,7,RB,CIN,Blitzkoerper85,13
18,P. Mahomes,2,8,QB,KC,Hammichan,1
19,D. Hopkins,2,9,WR,ARI,MKx,4
20,C. Ridley,2,10,WR,ATL,StumpfistTrumpf,5
21,D. Waller,3,1,TE,LV,StumpfistTrumpf,2
22,K. Murray,3,2,QB,ARI,MKx,2
23,G. Kittle,3,3,TE,SF,Hammichan,3
24,S. Diggs,3,4,WR,BUF,Speasy,6
25,C. Edwards-Helaire,3,5,RB,KC,TheRealBauer,14
26,K. Allen,3,6,WR,LAC,Blitzkoerper85,7
27,C. Carson,3,7,RB,SEA,Wolverine88,15
28,A. Brown,3,8,WR,TEN,AllTimeReadyPat,8
29,D. Swift,3,9,RB,DET,MarkusEXperte,16
30,D. Montgomery,3,10,RB,CHI,Hubner,17
31,J. Jefferson,4,1,WR,MIN,Hubner,9
32,J. Dobbins,4,2,RB,BAL,MarkusEXperte,18
33,J. Jacobs,4,3,RB,LV,AllTimeReadyPat,19
34,J. Jones,4,4,WR,TEN,Wolverine88,10
35,D. Henderson,4,5,RB,LAR,Blitzkoerper85,20
36,C. Lamb,4,6,WR,DAL,TheRealBauer,11
37,A. Robinson,4,7,WR,CHI,Speasy,12
38,M. Evans,4,8,WR,TB,Hammichan,13
39,K. Pitts,4,9,TE,ATL,MKx,4
40,M. Sanders,4,10,RB,PHI,StumpfistTrumpf,21
41,T. McLaurin,5,1,WR,WAS,StumpfistTrumpf,14
42,A. Cooper,5,2,WR,DAL,MKx,15
43,M. Gaskin,5,3,RB,MIA,Hammichan,22
44,T. Etienne,5,4,RB,JAX,Blitzkoerper85,23
45,C. Godwin,5,5,WR,TB,TheRealBauer,16
46,R. Woods,5,6,WR,LAR,Speasy,17
47,M. Andrews,5,7,TE,BAL,Wolverine88,5
48,J. Allen,5,8,QB,BUF,AllTimeReadyPat,3
49,D. Moore,5,9,WR,CAR,MarkusEXperte,18
50,T. Lockett,5,10,WR,SEA,Hubner,19
51,L. Jackson,6,1,QB,BAL,Hubner,4
52,T. Hockenson,6,2,TE,DET,MarkusEXperte,6
53,K. Hunt,6,3,RB,CLE,AllTimeReadyPat,24
54,C. Kupp,6,4,WR,LAR,Wolverine88,20
55,M. Davis,6,5,RB,ATL,Speasy,25
56,D. Johnson,6,6,WR,PIT,TheRealBauer,21
