pos,player,opp,status,points,year,week,team,team_score,team_away,team_away_score,team_manager,team_away_manager,projected,total_score_proj,team_away_proj,is_playoff_match
QB,C. Palmer,@DET,L 23-35,8.92,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
RB,L. Bell,@CLE,W 21-18,4.7,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
RB,D. Cook,NO,W 29-19,13.7,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
WR,J. Nelson,SEA,W 17-9,13.9,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
WR,D. Thomas,LAC,W 24-21,6.7,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
TE,T. Kelce,@NE,W 42-27,4.4,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
FLEX,E. Elliott,NYG,W 19-3,14,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
K,M. Prater,ARI,W 35-23,7,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
DEF,Rams DEF,IND,W 46-9,30,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
BN,D. Martin,BYE,BYE,0,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
BN,K. Allen,@DEN,L 21-24,9.5,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
BN,M. Bryant,@CLE,W 21-18,1.4,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
BN,T. Coleman,@CHI,W 23-17,5.8,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
BN,D. Henry,LV,L 16-26,2.5,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
BN,K. Hunt,@NE,W 42-27,40.6,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Heim,NA,NA,NA,FALSE
QB,A. Rodgers,SEA,W 17-9,16.54,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
RB,D. Murray,LV,L 16-26,6,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
RB,B. Powell,@BUF,L 12-21,3.9,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
WR,J. Jones,@CHI,W 23-17,6.6,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
WR,A. Jeffery,@WAS,W 30-17,5.8,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
TE,T. Eifert,BAL,L 0-20,0.4,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
FLEX,I. Crowell,PIT,L 18-21,8.6,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
K,S. Gostkowski,KC,L 27-42,8,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
DEF,Patriots DEF,KC,L 27-42,1,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
BN,M. Bennett,KC,L 27-42,4.3,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
BN,C. Newton,@SF,W 23-3,13.14,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
BN,L. Miller,JAX,L 7-29,9.6,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
BN,T. Hill,@NE,W 42-27,19.8,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
BN,C. Carson,@GB,L 9-17,4.9,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
BN,Cardinals DEF,@DET,L 23-35,8,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Heim,Hubner,NA,NA,NA,FALSE
QB,B. Roethlisberger,@CLE,W 21-18,15.72,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
RB,T. Gurley,IND,W 46-9,15.6,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
RB,D. Johnson,@DET,L 23-35,7,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
WR,D. Bryant,NYG,W 19-3,4.3,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
WR,A. Robinson,@HOU,W 29-7,1.7,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
TE,D. Walker,LV,L 16-26,7.6,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
FLEX,M. Ingram,@MIN,L 19-29,7.1,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
K,S. Hauschka,NYJ,W 21-12,3,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
DEF,Steelers DEF,@CLE,W 21-18,16,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
BN,D. Jackson,BYE,BYE,0,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
BN,D. Brees,@MIN,L 19-29,15.64,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
BN,E. Ebron,ARI,W 35-23,0.9,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
BN,J. Landry,BYE,BYE,0,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
BN,R. Kelley,PHI,L 17-30,3,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
BN,Seahawks DEF,@GB,L 9-17,7,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files,NA,NA,NA,FALSE
QB,M. Mariota,LV,L 16-26,18.84,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
RB,M. Gordon,@DEN,L 21-24,13.9,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
RB,L. Fournette,@HOU,W 29-7,18.4,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
WR,L. Fitzgerald,@DET,L 23-35,7.4,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
WR,T. Hilton,@LAR,L 9-46,3.7,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
TE,G. Olsen,@SF,W 23-3,1.8,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
FLEX,D. Woodhead,@CIN,W 20-0,3.7,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
K,J. Tucker,@CIN,W 20-0,6,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
DEF,Chiefs DEF,@NE,W 42-27,3,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
BN,E. Lacy,@GB,L 9-17,0.3,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
BN,M. Evans,BYE,BYE,0,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
BN,D. Moncrief,@LAR,L 9-46,5,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick,NA,NA,NA,FALSE
