year,week,team_winner,manager_winner,team_loser,manager_loser,score_winner,score_loser
2017,1,Le'Veon A Prayer,Hubner,Kung Suh Panda,Tobsenheimi,103.32,56.84
2017,1,Rui's Crew,Patrick,Suit Up,Files,78.02,76.74
2017,1,Die EXperten,Markus,Leschke-Ultras,Walter,106.48,75.54
2017,1,The Manning Faced God,Bauer,Goldcity,Hagen,92.1,77.38
2017,2,Le'Veon A Prayer,Hubner,Suit Up,Files,93.38,86.56
2017,2,Rui's Crew,Patrick,Goldcity,Hagen,98.04,88.2
2017,2,Leschke-Ultras,Walter,Kung Suh Panda,Tobsenheimi,92.08,80.62
2017,2,The Manning Faced God,Bauer,Die EXperten,Markus,117.66,85.08
2017,3,Le'Veon A Prayer,Hubner,Leschke-Ultras,Walter,95.46,69.66
2017,3,Suit Up,Files,Die EXperten,Markus,86.32,82.66
2017,3,Goldcity,Hagen,Kung Suh Panda,Tobsenheimi,100.12,62.22
2017,3,The Manning Faced God,Bauer,Rui's Crew,Patrick,96.1,78.8
2017,4,Le'Veon A Prayer,Hubner,The Manning Faced God,Bauer,150.78,84.48
2017,4,Goldcity,Hagen,Suit Up,Files,90.38,88.68
2017,4,Rui's Crew,Patrick,Leschke-Ultras,Walter,134.62,97.2
2017,4,Die EXperten,Markus,Kung Suh Panda,Tobsenheimi,89.66,70.06
2017,5,Le'Veon A Prayer,Hubner,Rui's Crew,Patrick,108.54,45.68
2017,5,Suit Up,Files,Leschke-Ultras,Walter,135.96,79.22
2017,5,The Manning Faced God,Bauer,Kung Suh Panda,Tobsenheimi,98.74,87.14
2017,5,Die EXperten,Markus,Goldcity,Hagen,86.86,73.12
2017,6,Le'Veon A Prayer,Hubner,Die EXperten,Markus,119.3,110.68
2017,6,Kung Suh Panda,Tobsenheimi,Rui's Crew,Patrick,94.42,83.44
2017,6,Leschke-Ultras,Walter,Goldcity,Hagen,80.22,66.58
2017,6,The Manning Faced God,Bauer,Suit Up,Files,117.2,97.84
2017,7,Goldcity,Hagen,Le'Veon A Prayer,Hubner,85.66,78.74
2017,7,Kung Suh Panda,Tobsenheimi,Suit Up,Files,103.58,64.62
2017,7,Leschke-Ultras,Walter,The Manning Faced God,Bauer,83.52,65.06
2017,7,Die EXperten,Markus,Rui's Crew,Patrick,112.62,112.24
2017,8,Le'Veon A Prayer,Hubner,Rui's Crew,Patrick,118.08,79.58
2017,8,Kung Suh Panda,Tobsenheimi,The Manning Faced God,Bauer,104.02,67.92
2017,8,Leschke-Ultras,Walter,Goldcity,Hagen,94.98,92.42
2017,8,Die EXperten,Markus,Suit Up,Files,131.64,80.9
2017,9,Le'Veon A Prayer,Hubner,Kung Suh Panda,Tobsenheimi,100.7,80.44
2017,9,Leschke-Ultras,Walter,Suit Up,Files,66.98,57.18
2017,9,The Manning Faced God,Bauer,Die EXperten,Markus,103.76,98.12
2017,9,Rui's Crew,Patrick,Goldcity,Hagen,116.82,94.5
2017,10,Le'Veon A Prayer,Hubner,Suit Up,Files,115.66,51.96
2017,10,Kung Suh Panda,Tobsenheimi,Leschke-Ultras,Walter,104.76,80.02
2017,10,Die EXperten,Markus,Goldcity,Hagen,93.36,77.74
2017,10,Rui's Crew,Patrick,The Manning Faced God,Bauer,146.6,73.14
2017,11,Die EXperten,Markus,Le'Veon A Prayer,Hubner,161.12,130.56
2017,11,Goldcity,Hagen,Kung Suh Panda,Tobsenheimi,104.2,67.16
2017,11,Leschke-Ultras,Walter,Rui's Crew,Patrick,114.02,89.3
2017,11,The Manning Faced God,Bauer,Suit Up,Files,105.78,93.94
2017,12,Le'Veon A Prayer,Hubner,Goldcity,Hagen,122.12,72.68
2017,12,Kung Suh Panda,Tobsenheimi,Suit Up,Files,104.2,49.46
2017,12,Die EXperten,Markus,Rui's Crew,Patrick,132.28,118.76
2017,12,The Manning Faced God,Bauer,Leschke-Ultras,Walter,108.68,78.42
2017,13,Le'Veon A Prayer,Hubner,The Manning Faced God,Bauer,104.72,88.96
2017,13,Leschke-Ultras,Walter,Die EXperten,Markus,95.68,89.32
2017,13,Suit Up,Files,Goldcity,Hagen,112.6,61.12
2017,13,Rui's Crew,Patrick,Kung Suh Panda,Tobsenheimi,121.3,117.82
2017,14,Rui's Crew,Patrick,Leschke-Ultras,Walter,87.52,82.84
2017,14,Die EXperten,Markus,Kung Suh Panda,Tobsenheimi,118.14,110.86
2017,15,Rui's Crew,Patrick,Le'Veon A Prayer,Hubner,129.5,120.68
2017,15,The Manning Faced God,Bauer,Die EXperten,Markus,109.98,99.84
2017,16,Le'Veon A Prayer,Hubner,Die EXperten,Markus,111.7,66.26
2017,16,Suit Up,Files,Goldcity,Hagen,99.54,89.26
2017,16,Rui's Crew,Patrick,The Manning Faced God,Bauer,97.16,94
2017,16,Leschke-Ultras,Walter,Kung Suh Panda,Tobsenheimi,92.12,75.94
