pos,player,opp,status,stats,points,projected,year,week,team,total_score,total_score_proj,team_away,team_away_proj,team_away_score
QB,J. Hurts,@ DET,L 38-35,,24.72,21.67,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
RB,C. Edmonds,vs NE,W 20-7,,8.50,11.91,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
RB,J. Conner,vs KC,L 21-44,,13.00,14.72,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
WR,B. Cooks,,BYE,,11.70,10.44,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
WR,M. Pittman,,BYE,,22.60,12.71,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
TE,D. Goedert,@ DET,L 38-35,,7.50,9.52,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
FLX,J. Chase,vs PIT,L 20-23,,23.90,15.89,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
FLX,A. Ekeler,vs LV,W 24-19,,9.20,18.83,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
K,B. McManus,@ SEA,W 16-17,,10.00,7.57,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
DEF,S. 49ers,@ CHI,W 10-19,,5.00,9.97,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
BN,J. Wilson,@ CHI,W 10-19,,4.00,5.03,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
BN,N. Hines,,BYE,,7.40,7.74,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
BN,D. Henderson,vs BUF,L 10-31,,9.80,7.34,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
BN,A. Thielen,vs GB,W 23-7,,5.10,10.59,2022,1,TheRealBauer,136.12,133.22,Hubner,122.05,125.30
QB,R. Wilson,@ SEA,W 16-17,,17.80,18.29,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
RB,D. Swift,vs PHI,L 35-38,,25.00,15.14,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
RB,E. Elliott,vs TB,L 3-19,,5.40,13.30,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
WR,A. Robinson,vs BUF,L 10-31,,1.70,11.77,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
WR,G. Davis,@ LAR,L 31-10,,16.80,10.80,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
TE,C. Kmet,vs SF,W 19-10,,0.00,7.78,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
FLX,J. Jefferson,vs GB,W 23-7,,34.90,16.23,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
FLX,T. Higgins,vs PIT,L 20-23,,3.70,12.79,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
K,R. Succop,@ DAL,L 19-3,,13.00,7.41,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
DEF,C. Browns,@ CAR,L 26-24,,7.00,8.54,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
BN,T. Lance,@ CHI,W 10-19,,8.96,18.65,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
BN,A. Dillon,@ MIN,W 7-23,,17.60,10.74,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
BN,R. Stevenson,@ MIA,W 7-20,,3.70,9.26,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
BN,T. Allgeier,vs NO,L 26-27,,0.00,0.00,2022,1,Hubner,125.30,122.05,TheRealBauer,133.22,136.12
QB,K. Murray,vs KC,L 21-44,,20.62,21.59,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
RB,N. Chubb,@ CAR,L 26-24,,14.80,13.87,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
RB,L. Fournette,@ DAL,L 19-3,,14.70,15.38,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
WR,C. Kupp,vs BUF,L 10-31,,25.30,16.91,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
WR,D. Johnson,@ CIN,L 23-20,,8.00,12.08,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
TE,G. Everett,vs LV,W 24-19,,12.90,7.63,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
FLX,D. Montgomery,vs SF,W 19-10,,6.50,10.66,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
FLX,D. Harris,@ MIA,W 7-20,,6.80,9.22,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
K,R. Blankenship,,BYE,,8.00,7.11,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
DEF,I. Colts,,BYE,,7.00,9.28,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
BN,J. Robinson,@ WAS,W 22-28,,19.40,5.93,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
BN,K. Gainwell,@ DET,L 38-35,,10.20,5.49,2022,1,MarkusEXperte,124.62,123.73,StumpfistTrumpf,131.12,105.52
