week,matchup,home,away,div_home,div_away
1,(4-1),HA!,Heim,1,1
1,(5-2),Daniel,Marc,1,1
1,(10-7),Rui,Simon,2,2
1,(6-8),JB,Hoodie,2,2
1,(3-9),Maiggus,Stumpfi,1,2
2,(2-3),Marc,Maiggus,1,1
2,(4-5),HA!,Daniel,1,1
2,(7-8),Simon,Hoodie,2,2
2,(9-10),Stumpfi,Rui,2,2
2,(1-6),Heim,JB,1,2
3,(2-4),Marc,HA!,1,1
3,(3-5),Maiggus,Daniel,1,1
3,(8-10),Hoodie,Rui,2,2
3,(9-6),Stumpfi,JB,2,2
3,(1-7),Heim,Simon,1,2
4,(1-2),Heim,Marc,1,1
4,(3-4),Maiggus,HA!,1,1
4,(6-7),JB,Simon,2,2
4,(8-9),Hoodie,Stumpfi,2,2
4,(5-10),Daniel,Rui,1,2
5,(1-3),Heim,Maiggus,1,1
5,(2-4),Marc,HA!,1,1
5,(7-9),Simon,Stumpfi,2,2
5,(8-10),Hoodie,Rui,2,2
5,(5-6),Daniel,JB,1,2
6,(1-8),Heim,Hoodie,1,2
6,(2-9),Marc,Stumpfi,1,2
6,(3-10),Maiggus,Rui,1,2
6,(4-6),HA!,JB,1,2
6,(5-7),Daniel,Simon,1,2
7,(1-9),Heim,Stumpfi,1,2
7,(2-10),Marc,Rui,1,2
7,(3-6),Maiggus,JB,1,2
7,(4-7),HA!,Simon,1,2
7,(5-8),Daniel,Hoodie,1,2
8,(1-10),Heim,Rui,1,2
8,(2-6),Marc,JB,1,2
8,(3-7),Maiggus,Simon,1,2
8,(4-8),HA!,Hoodie,1,2
8,(5-9),Daniel,Stumpfi,1,2
9,(5-2),Daniel,Marc,1,1
9,(1-3),Heim,Maiggus,1,1
9,(6-8),JB,Hoodie,2,2
9,(7-9),Simon,Stumpfi,2,2
9,(4-10),HA!,Rui,1,2
10,(3-4),Maiggus,HA!,1,1
10,(5-1),Daniel,Heim,1,1
10,(8-9),Hoodie,Stumpfi,2,2
10,(10-6),Rui,JB,2,2
10,(2-7),Marc,Simon,1,2
11,(4-5),HA!,Daniel,1,1
11,(1-2),Heim,Marc,1,1
11,(9-10),Stumpfi,Rui,2,2
11,(6-7),JB,Simon,2,2
11,(3-8),Maiggus,Hoodie,1,2
12,(5-1),Daniel,Heim,1,1
12,(2-3),Marc,Maiggus,1,1
12,(10-6),Rui,JB,2,2
12,(7-8),Simon,Hoodie,2,2
12,(4-9),HA!,Stumpfi,1,2
13,(3-5),Maiggus,Daniel,1,1
13,(4-1),HA!,Heim,1,1
13,(9-6),Stumpfi,JB,2,2
13,(10-7),Rui,Simon,2,2
13,(2-8),Marc,Hoodie,1,2
